n,t,trial,registration_time_s,token_time_s
3,2,0,0.0002330999999999861,5.209999999999937e-05
3,2,1,0.00023289999999998034,5.250000000001087e-05
3,2,2,0.00022719999999998297,5.169999999998787e-05
3,2,3,0.00022330000000003736,5.270000000001662e-05
3,2,4,0.0002218999999999971,5.0799999999906476e-05
3,2,5,0.00023200000000000998,5.589999999999762e-05
3,2,6,0.00022129999999997985,5.0200000000000244e-05
3,2,7,0.00026020000000004373,6.170000000005338e-05
3,2,8,0.00022210000000000285,5.069999999995911e-05
3,2,9,0.00022379999999999622,5.1200000000029e-05
3,2,10,0.00022169999999999135,5.049999999995336e-05
3,2,11,0.00022009999999994534,5.050000000006438e-05
3,2,12,0.00022090000000007937,5.049999999995336e-05
3,2,13,0.0002228000000000785,5.050000000006438e-05
3,2,14,0.00022290000000002586,5.189999999999362e-05
3,2,15,0.0002206999999999626,5.0900000000075885e-05
3,2,16,0.00024329999999994634,5.100000000002325e-05
3,2,17,0.00022889999999997634,6.669999999997511e-05
3,2,18,0.00021740000000003423,5.169999999998787e-05
3,2,19,0.00021599999999999397,4.999999999999449e-05
3,2,20,0.00021650000000006386,4.939999999997724e-05
3,2,21,0.00021580000000009925,5.010000000005288e-05
3,2,22,0.0003022000000000302,0.00011159999999998949
3,2,23,0.00032480000000001397,7.389999999996011e-05
3,2,24,0.0002906000000000297,5.030000000005863e-05
3,2,25,0.0002183000000000046,5.08000000000175e-05
3,2,26,0.00024080000000004098,5.6900000000026374e-05
3,2,27,0.00022769999999994184,5.150000000009314e-05
3,2,28,0.00022969999999999935,4.990000000004713e-05
3,2,29,0.00023799999999996047,5.3100000000028125e-05
5,3,0,0.00022979999999994671,6.2400000000018e-05
5,3,1,0.00022659999999996572,5.56000000000445e-05
5,3,2,0.00022820000000001173,5.270000000001662e-05
5,3,3,0.00022100000000002673,5.540000000003875e-05
5,3,4,0.00022759999999999447,5.409999999994586e-05
5,3,5,0.00021740000000003423,5.2599999999958236e-05
5,3,6,0.0002213999999999272,5.460000000001575e-05
5,3,7,0.00028770000000000184,5.489999999996886e-05
5,3,8,0.0002202999999999511,5.4399999999898974e-05
5,3,9,0.00021979999999999222,5.299999999996974e-05
5,3,10,0.00021969999999993384,5.409999999994586e-05
5,3,11,0.00021859999999995772,5.4400000000009996e-05
5,3,12,0.0002187000000000161,5.3100000000028125e-05
5,3,13,0.00022780000000000022,5.5499999999986116e-05
5,3,14,0.00022820000000001173,5.409999999994586e-05
5,3,15,0.00022150000000009662,5.449999999995736e-05
5,3,16,0.0002228000000000785,5.540000000003875e-05
5,3,17,0.00022140000000003823,5.569999999999187e-05
5,3,18,0.0003498000000000667,9.870000000000712e-05
5,3,19,0.0003374999999999906,7.009999999996186e-05
5,3,20,0.00023050000000002235,5.5499999999986116e-05
5,3,21,0.00023139999999999272,5.5200000000033e-05
5,3,22,0.00023260000000002723,5.56000000000445e-05
5,3,23,0.0002267000000000241,5.770000000004938e-05
5,3,24,0.00022979999999994671,5.6199999999950734e-05
5,3,25,0.00022460000000001923,5.419999999989322e-05
5,3,26,0.00022400000000000198,5.450000000006838e-05
5,3,27,0.00022460000000001923,5.500000000002725e-05
5,3,28,0.00023009999999989983,5.5800000000050254e-05
5,3,29,0.00022840000000001748,5.6399999999956485e-05
7,3,0,0.00022850000000007586,5.5499999999986116e-05
7,3,1,0.00022820000000001173,5.5800000000050254e-05
7,3,2,0.00022880000000002898,5.610000000000337e-05
7,3,3,0.00022849999999996484,5.5299999999980365e-05
7,3,4,0.0002293999999999352,5.56000000000445e-05
7,3,5,0.00022780000000000022,5.5099999999974614e-05
7,3,6,0.00022849999999996484,5.6000000000056005e-05
7,3,7,0.00022979999999994671,5.540000000003875e-05
7,3,8,0.00023850000000003035,5.599999999994498e-05
7,3,9,0.00023119999999998697,5.599999999994498e-05
7,3,10,0.0002294999999999936,5.6000000000056005e-05
7,3,11,0.0002282999999999591,5.610000000000337e-05
7,3,12,0.00023159999999999847,5.5099999999974614e-05
7,3,13,0.0002289999999999237,5.779999999999674e-05
7,3,14,0.0002725999999999562,5.680000000007901e-05
7,3,15,0.00022889999999997634,7.809999999996986e-05
7,3,16,0.00023159999999999847,5.5200000000033e-05
7,3,17,0.00023159999999999847,5.5299999999980365e-05
7,3,18,0.00023410000000001485,5.66999999999096e-05
7,3,19,0.00028090000000002835,5.9099999999978614e-05
7,3,20,0.00023600000000001398,5.7300000000037876e-05
7,3,21,0.00024299999999999322,5.679999999996799e-05
7,3,22,0.00023370000000000335,5.699999999997374e-05
7,3,23,0.00023529999999993834,5.6599999999962236e-05
7,3,24,0.00023240000000002148,5.670000000002062e-05
7,3,25,0.00023289999999998034,5.500000000002725e-05
7,3,26,0.00022730000000004136,5.540000000003875e-05
7,3,27,0.00023360000000005599,5.56000000000445e-05
7,3,28,0.00023300000000003873,5.5499999999986116e-05
7,3,29,0.00023439999999996797,5.6199999999950734e-05
7,5,0,0.00024159999999995296,6.539999999999324e-05
7,5,1,0.00024319999999999897,6.620000000001625e-05
7,5,2,0.00024930000000000785,6.609999999995786e-05
7,5,3,0.00024319999999999897,6.590000000006313e-05
7,5,4,0.00024340000000000472,6.499999999998174e-05
