trial,batch_size,success_count,total_time,avg_time,throughput
0,1,1,1.5100000000045632e-05,1.5100000000045632e-05,66225.16556271378
0,5,5,4.559999999997899e-05,9.119999999995798e-06,109649.12280706807
0,10,10,8.660000000004775e-05,8.660000000004776e-06,115473.44110848136
0,20,20,0.00020120000000001248,1.0060000000000624e-05,99403.57852882087
0,50,50,0.00041400000000002546,8.280000000000509e-06,120772.94685989595
0,100,100,0.0008489999999999887,8.489999999999887e-06,117785.6301531229
1,1,1,1.1100000000041632e-05,1.1100000000041632e-05,90090.0900897522
1,5,5,4.559999999997899e-05,9.119999999995798e-06,109649.12280706807
1,10,10,8.800000000008801e-05,8.800000000008801e-06,113636.36363625
1,20,20,0.0001731000000000371,8.655000000001856e-06,115540.1502021705
1,50,50,0.0004234000000000737,8.468000000001475e-06,118091.63911193032
1,100,100,0.0008736000000000299,8.736000000000299e-06,114468.86446886056
2,1,1,1.1399999999994748e-05,1.1399999999994748e-05,87719.29824565446
2,5,5,4.8000000000048004e-05,9.600000000009602e-06,104166.6666665625
2,10,10,8.910000000006413e-05,8.910000000006413e-06,112233.44556669812
2,20,20,0.00017929999999999335,8.964999999999668e-06,111544.89682097458
2,50,50,0.00045850000000002833,9.170000000000566e-06,109051.25408941529
2,100,100,0.0008943999999999619,8.943999999999618e-06,111806.79785331425
3,1,1,1.1700000000058886e-05,1.1700000000058886e-05,85470.0854696553
3,5,5,4.919999999997149e-05,9.839999999994298e-06,101626.0162602215
3,10,10,9.209999999992835e-05,9.209999999992836e-06,108577.6330076849
3,20,20,0.00018550000000006062,9.27500000000303e-06,107816.71159026127
3,50,50,0.0004550000000000942,9.100000000001885e-06,109890.10989008713
3,100,100,0.0009055999999999509,9.055999999999508e-06,110424.02826855723
4,1,1,1.1699999999947863e-05,1.1699999999947863e-05,85470.08547046634
4,5,5,4.830000000000112e-05,9.660000000000224e-06,103519.66873705764
4,10,10,9.30999999999571e-05,9.309999999995711e-06,107411.38560692381
4,20,20,0.00018160000000000398,9.0800000000002e-06,110132.15859030596
4,50,50,0.00045159999999999645,9.03199999999993e-06,110717.4490699743
4,100,100,0.0008987999999999774,8.987999999999774e-06,111259.45705385237
5,1,1,1.2200000000017752e-05,1.2200000000017752e-05,81967.21311463483
5,5,5,4.8000000000048004e-05,9.600000000009602e-06,104166.6666665625
5,10,10,9.179999999997523e-05,9.179999999997523e-06,108932.46187366774
5,20,20,0.00018209999999996285,9.104999999998142e-06,109829.7638660301
5,50,50,0.0004625999999999797,9.251999999999594e-06,108084.73843493774
5,100,100,0.0009008000000000349,9.00800000000035e-06,111012.43339253566
6,1,1,1.180000000000625e-05,1.180000000000625e-05,84745.76271181952
6,5,5,4.870000000001262e-05,9.740000000002524e-06,102669.40451742719
6,10,10,9.18999999999226e-05,9.18999999999226e-06,108813.92818289905
6,20,20,0.00018340000000005574,9.170000000002787e-06,109051.25408938888
6,50,50,0.0004501000000000088,9.002000000000176e-06,111086.42523883363
6,100,100,0.0017625000000000002,1.7625e-05,56737.58865248226
7,1,1,1.9199999999996997e-05,1.9199999999996997e-05,52083.33333334148
7,5,5,5.6200000000061756e-05,1.124000000001235e-05,88967.97153015135
7,10,10,9.550000000002612e-05,9.550000000002612e-06,104712.04188478811
7,20,20,0.0007777999999999397,3.888999999999698e-05,25713.551041400813
7,50,50,0.0004560999999999593,9.121999999999187e-06,109625.08221882144
7,100,100,0.0008755999999999764,8.755999999999763e-06,114207.40063956453
8,1,1,1.1899999999953614e-05,1.1899999999953614e-05,84033.6134457057
8,5,5,5.150000000009314e-05,1.0300000000018628e-05,97087.37864060112
8,10,10,9.339999999991022e-05,9.339999999991022e-06,107066.38115641983
8,20,20,0.00017730000000004686,8.865000000002344e-06,112803.15848840786
8,50,50,0.00044560000000004596,8.912000000000919e-06,112208.25852781607
8,100,100,0.0008739999999999304,8.739999999999303e-06,114416.47597254916
9,1,1,1.1700000000058886e-05,1.1700000000058886e-05,85470.0854696553
9,5,5,5.140000000003475e-05,1.028000000000695e-05,97276.26459137393
9,10,10,9.40000000000385e-05,9.40000000000385e-06,106382.97872336069
9,20,20,0.00017679999999997698,8.839999999998848e-06,113122.1719457161
9,50,50,0.00044040000000000745,8.808000000000148e-06,113533.15168028872
9,100,100,0.0008612000000000064,8.612000000000064e-06,116117.04598234934
10,1,1,1.1299999999936361e-05,1.1299999999936361e-05,88495.57522173732
10,5,5,4.650000000006038e-05,9.300000000012076e-06,107526.88172029048
10,10,10,8.9600000000023e-05,8.9600000000023e-06,111607.14285711422
10,20,20,0.00017769999999994734,8.884999999997368e-06,112549.24029266137
10,50,50,0.0004306000000000587,8.612000000001174e-06,116117.04598233437
10,100,100,0.0009114000000000066,9.114000000000067e-06,109721.30787798911
11,1,1,1.2800000000035006e-05,1.2800000000035006e-05,78124.99999978635
11,5,5,4.890000000001837e-05,9.780000000003674e-06,102249.48875251782
11,10,10,9.239999999999249e-05,9.23999999999925e-06,108225.10822511703
11,20,20,0.00018489999999993234,9.244999999996617e-06,108166.57652789248
11,50,50,0.0004422000000000592,8.844000000001185e-06,113071.00859338151
11,100,100,0.0008681999999999856,8.681999999999857e-06,115180.8339092394
12,1,1,1.1399999999994748e-05,1.1399999999994748e-05,87719.29824565446
12,5,5,4.850000000000687e-05,9.700000000001374e-06,103092.78350514003
12,10,10,8.810000000003537e-05,8.810000000003538e-06,113507.3779795231
12,20,20,0.00017299999999997873,8.649999999998936e-06,115606.93641619918
12,50,50,0.0004233999999999627,8.467999999999254e-06,118091.63911196128
12,100,100,0.0009062999999999155,9.062999999999156e-06,110338.73993160027
13,1,1,1.1199999999988997e-05,1.1199999999988997e-05,89285.71428580201
13,5,5,4.5500000000031626e-05,9.100000000006325e-06,109890.1098900335
13,10,10,8.7200000000065e-05,8.7200000000065e-06,114678.89908248332
13,20,20,0.0001790999999999876,8.95499999999938e-06,111669.45840313447
13,50,50,0.00045120000000009597,9.02400000000192e-06,110815.60283685586
